,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
30,The Script,No Sound Without Silence,Superheroes,37sINbJZcFdHFAsVNsPq1i,0.49,0.885,3,-4.121,1,0.0396,0.00218,0,0.0741,0.64,166.996,245467,4,
31,Flo Rida,Wild Ones,I Cry,3zrYNl1aMdFrQkcOjKVr5u,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4,
32,OneRepublic,Native,Counting Stars,1QzFhzIOW7CyRJLpmq5CM0,0.663,0.705,1,-4.972,0,0.0385,0.0654,0,0.117,0.477,122.014,257387,4,
33,PSY,Gangnam Style (강남스타일),Gangnam Style (강남스타일),1R2SZUOGJqqBiLuvwKOT2Y,0.727,0.938,11,-2.872,0,0.288,0.00432,0,0.0911,0.757,132.077,219493,4,
34,Pitbull,Global Warming,Feel This Moment (feat. Christina Aguilera),4yOn1TEcfsKHUJCL2h1r8I,0.668,0.758,7,-3.589,1,0.158,0.0338,0,0.204,0.531,135.958,229507,4,
35,FRENSHIP,Capsize,Capsize,3GBlLqIYgB8zWaeWDNJzdh,0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993,237760,4,
36,Tungevaag,Magical,Magical,43lwHSTEexXRVVeXZtAtfi,0.504,0.912,1,-2.867,1,0.259,0.199,0,0.105,0.248,189.983,218539,4,
37,Leona Lewis,Spirit,Bleeding Love,6LtPIXlIzPOTF8vTecYjRe,0.635,0.647,5,-5.864,1,0.0366,0.192,0,0.154,0.201,104.058,262693,4,
38,Tujamo,Drop That Low (When I Dip),Drop That Low (When I Dip),48kF7W23OIcVBsNY5UesuQ,0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672,160000,4,
39,Jonas Blue,Perfect Strangers,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,0.742,0.819,1,-5.307,1,0.0487,0.372,0,0.277,0.709,117.986,196613,4,
40,Axwell /\ Ingrosso,Thinking About You,Thinking About You,3eBwnjEe60kDJAMlFg1ewf,0.69,0.811,8,-5.475,1,0.058,0.044,0,0.205,0.521,122.001,204590,4,
41,Joel Adams,Please Don't Go,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,210580,4,
42,Martin Garrix,Lions in the Wild,Lions in the Wild,6F1kPSgdnlSzZRfskE9vaV,0.504,0.847,7,-6.81,0,0.0442,0.00434,0,0.816,0.28,127.854,211890,4,
43,Flume,Skin,Never Be Like You,12REd1n8PeiHHWOh066tpr,0.494,0.559,0,-5.445,1,0.0565,0.436,0,0.164,0.264,119.247,233337,4,
44,Shawn Mendes,Treat You Better,Treat You Better,53B2XmmjJ9rriW1qciMBeX,0.45,0.825,10,-4.066,0,0.372,0.121,0,0.109,0.742,82.823,187973,4,
45,Twenty One Pilots,Heathens,Heathens,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4,
46,Adele,25,Send My Love (To Your New Lover),3KZcrZ36LW9RnChK1iIkth,0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,223079,4,
47,Adele,25,When We Were Young,0cj2joJcY6b4XSRfj2eZOl,0.377,0.595,3,-5.936,1,0.0489,0.303,0,0.095,0.264,144.464,290900,4,
48,Adele,21,Someone Like You,6QPKYGnAW9QozVz2dSWqRg,0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,285240,4,
49,Adele,21,Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,242974,4,
50,OneRepublic,Dreaming Out Loud,Apologize,1NrJYpdAi7uosDRPmSYrsG,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,4,
51,Juju,Julius Kivi on hullu,Onnelliseksi,6hvNLxrHBdR1qzdrKasCPE,0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01,213013,4,
52,Ed Sheeran,x (Deluxe Edition),I See Fire,5pY3ovFxbvAg7reGZjJQSp,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,299147,4,
53,Snow Patrol,Eyes Open,Chasing Cars,11bD1JtSjlIgKgZG2134DZ,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933,4,
54,A Great Big World,Is There Anybody Out There?,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3,
55,Various Artists,Furious 7: Original Motion Picture Soundtrack,Go Hard or Go Home,2QJnTfMpNG05KFf2E3gVIJ,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,232773,4,
56,Arttu Lindeman,Läikkyy,Läikkyy,1gou2U6ZcLKXLBC3MYVtEu,0.669,0.846,4,-3.976,0,0.156,0.15,0,0.154,0.793,150.014,206200,4,
57,Anssi Kela,Klassikot,1972,4htrHrq1AB38vprDEha0hv,0.542,0.644,3,-6.196,1,0.0961,0.0219,0,0.138,0.545,153.972,249560,4,
58,Britney Spears,Greatest Hits: My Prerogative,Toxic,26nr9XnFCYWxBTIP7HyWXg,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,198813,4,
59,Mikael Gabriel,Versus,Älä herätä mua unesta,02RaNOB5CIiXAhgvLE6Xp0,0.656,0.675,1,-7.455,1,0.0457,0.119,0,0.0925,0.353,126.889,204573,4,
60,Aste,2.0,Spaceman,3PfG2rMOU9HglycfbIC4yM,0.737,0.95,6,-2.522,0,0.0611,0.017,0,0.233,0.968,127.0,197453,4,
61,Aste,2.0,Only One,1ttYNQjND5nBtUnpNMlLQQ,0.578,0.839,2,-3.806,1,0.0755,0.000649,0,0.0708,0.509,121.995,240280,4,
62,Selena Gomez,Stars Dance,Come & Get It,5U2m76qAMdr3gXI0g6ptlG,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,231987,1,
63,OneRepublic,Wherever I Go,Wherever I Go,7kUtJKGZzLNgIkq1Galkt0,0.543,0.691,10,-6.403,0,0.0425,0.107,0,0.218,0.335,100.014,170213,4,
64,Robin Schulz,Sugar,Heatwave (feat. Akon),2KMJ5CoxY4ECG9TZyNWmpv,0.702,0.82,7,-4.323,0,0.063,0.196,0,0.156,0.52,107.936,187126,4,
65,Teflon Brothers,Hubba Bubba,Hubba Bubba,2hQVEDz4hG8RGmzSPKTDrT,0.68,0.847,11,-6.439,1,0.0353,0.000755,0,0.159,0.792,136.039,207394,4,
66,AlunaGeorge,I'm In Control,I'm In Control,16NOHRm0OEjmg55OZAxVmV,0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013,209425,4,
67,Dimitri Vegas & Like Mike,Arcade (Radio Edit),Arcade - Radio Edit,7FKjWBgGgCGYoRRDIhp4bR,0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953,225000,4,
68,Sean Paul,Tomahawk Technique,She Doesn't Mind,4odiyU3myG29Ld0wurMfE8,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,227787,4,
69,Bobby Burns,Satellites,Satellites - Radio Edit,3peFUAm5l0kWIJXy7Q8GYP,0.535,0.829,4,-4.371,1,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,232519,4,
70,Sebastian Ingrosso,Calling (Lose My Mind),Calling (Lose My Mind) - Radio Edit,34NNeV9jfgNgaALgUr0u9V,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,4,
71,The Lonely Island,I Just Had Sex,I Just Had Sex,1OmxpKVSvn0LGcM3SQS4OV,0.621,0.802,6,-4.735,1,0.118,0.0235,0,0.108,0.819,167.976,168200,4,
72,Scarlet,Angels Unite,Angels Unite (Radio Edit),3UFoVEy7B2yqUMB21yyJm2,0.529,0.876,5,-5.649,1,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,216566,4,
73,Filip Jenven,Gypsy Drop (Radio Edit),Gypsy Drop - Radio Edit,11xsm79HwpWV1C1lMXoVo9,0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047,180502,4,
74,Scooter,Bigroom Blitz,Bigroom Blitz - Radio Mix,1Xcww2gldd5hN6WvGBsbFT,0.713,0.909,3,-4.274,1,0.0306,0.00303,0.000706,0.699,0.438,132.022,187273,4,
75,Showtek,Satisfied,Satisfied (feat. VASSY) - Original Mix,6LU68pNqUguPOsjPIaJwo6,0.611,0.941,0,-1.958,1,0.0491,0.00326,0.0205,0.345,0.589,128.002,258743,4,
76,Sander van Doorn,Gold Skies (Remixes),Gold Skies - Original Mix,4zXQSm5XIkcn5qtmtbwO9O,0.564,0.823,9,-6.316,0,0.046,0.00406,0.0716,0.684,0.221,128.018,329067,4,
77,John Martin,Love Louder (Style Of Eye Remix),Love Louder - Style Of Eye Remix,2WEiz65hkQPlThgncVH34T,0.56,0.854,1,-4.878,1,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,373650,4,
78,Martin Garrix,Forbidden Voices,Forbidden Voices,2BF1X5nkYYSb0AUTRaGkDm,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635,4,
79,Anders Nilsen,Salsa Tequila,Salsa Tequila,4WRjqQ6sx5qIcddaIxNTfF,0.661,0.906,6,-3.352,1,0.125,0.131,4.1e-05,0.0743,0.638,127.966,199805,4,
80,Basshunter,All I Ever Wanted (German Maxi),All I Ever Wanted - Radio Edit,3uoqlATyV5IWOhy0LBF7k1,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,176453,4,
81,David Guetta,Memories,Memories (feat. Kid Cudi),4iMu9le3ytNO3tvgVpQANx,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093,4,
82,Various Artists,Melbourne Bounce,Trumpsta (Djuro Remix) [feat. Treyy G],3YcXXjmC9cM5Y2x3jUps0p,0.973,0.587,1,-7.014,1,0.242,0.00207,0.38,0.257,0.195,128.0,258507,4,
83,ItaloBrothers,Stamp!,Moonlight Shadow,6T9vhWadqtG3J3jfYf8kcI,0.577,0.952,0,-5.172,1,0.0404,0.0529,0.00603,0.31,0.808,150.02,186880,4,
84,ItaloBrothers,Stamp!,Colours Of The Rainbow,4fWcyB6ik13xv6QFmORi0H,0.616,0.946,0,-6.392,0,0.059,0.00341,0.000188,0.168,0.744,140.045,210240,4,
85,Evelina,Honey,Honey,6d0eTPJ3JZTwOAwLdl0hOJ,0.68,0.633,3,-5.236,0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,221633,4,
86,Teflon Brothers,Pämppää,Pämppää,6xQjgKUjjKgLDfOibSRyRM,0.8,0.887,9,-5.038,1,0.0632,0.113,0,0.154,0.526,109.988,191991,4,
87,Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4,
88,OneRepublic,Native,If I Lose Myself,0ett0qCHbl0vdSRFhRSkMc,0.485,0.699,2,-6.017,1,0.0479,0.096,0,0.109,0.242,140.096,241560,4,
89,WSTRN,In2,In2,3WEmAizxrtQwXEJQRwCrK1,0.553,0.662,8,-6.454,0,0.129,0.342,0,0.141,0.561,98.368,242121,4,
90,Hurts,Exile (Deluxe),Somebody to Die For,0GDz2tPdh6FbxJxM75SQB4,0.426,0.599,11,-7.737,1,0.0282,0.0198,0.00142,0.366,0.102,91.995,275547,4,
91,The Pussycat Dolls,Doll Domination - The Mini Collection,Jai Ho! (You Are My Destiny),1domCrjxwdTsPWqVn2Ivc0,0.66,0.936,11,-3.931,1,0.0624,0.0531,2.46e-06,0.082,0.908,136.19,222413,4,
92,Nicole Scherzinger,Killer Love,Don't Hold Your Breath,7pAq1IXYZpL42HchCminu6,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955,197440,4,
93,The Pussycat Dolls,Doll Domination - The Mini Collection,When I Grow Up,7hFXQCDPgHhZQrC3vSM1o4,0.686,0.681,11,-5.761,0,0.0471,0.00185,0,0.395,0.366,118.472,245680,4,
94,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,289133,4,
95,Beyoncé,I AM...SASHA FIERCE,Halo,4JehYebiI9JE8sR8MisGVb,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,261640,4,
96,Justin Timberlake,Justified,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,288333,4,
97,The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid",1FMm3wG5WOhi7js35KR7Ea,0.55,0.918,9,-3.159,0,0.0682,0.00466,0,0.206,0.563,126.083,177827,4,
98,P!nk,Funhouse,So What,6qYGUxPjQt5PJtWdiNppZx,0.535,0.887,11,-3.106,1,0.0449,0.000304,2.23e-06,0.257,0.445,126.01,215160,4,
99,Shakira,Servicio De Lavanderia,"Whenever, Wherever",0RJWhctsc1G1Hg3Ov2th7x,0.793,0.832,1,-4.861,0,0.0405,0.265,6.84e-06,0.207,0.865,107.647,197027,4,
100,Leona Lewis,Spirit,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,262467,4,
101,Kelis,Tasty,Milkshake,2cMTIlktg3M9mXYqCPqw1J,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,182627,4,
102,Kelly Clarkson,Greatest Hits - Chapter One,Stronger (What Doesn't Kill You),35a4Kzyo9XY4FI9FaSIzzF,0.555,0.923,0,-5.908,1,0.0482,0.0411,0,0.112,0.682,116.012,221920,4,
103,Vanessa Hudgens,V,Say OK,5cfPxiul0cdhPYD2uzuQSg,0.471,0.696,7,-7.176,1,0.0468,0.00673,0.000955,0.0884,0.543,125.026,223867,3,
104,Emily Osment,Fight Or Flight,Lovesick,2w55BLEMG97Smym2V6itnx,0.611,0.715,0,-5.621,0,0.0604,0.00414,0,0.353,0.784,129.88,204813,3,
105,Hannah Montana,Best Of Hannah Montana,Wherever I Go,3lWEKwBNo9IbE9pdKC5NU6,0.538,0.621,5,-3.358,1,0.027,0.0383,0,0.0976,0.372,79.024,212853,4,
106,Hannah Montana,Hannah Montana Forever,I'll Always Remember You,0tldYKX9sQsDs41lJxdcp8,0.418,0.721,8,-2.736,1,0.0385,0.0485,0,0.0986,0.234,144.06,233467,4,
107,Selena Gomez & The Scene,A Year Without Rain (International Standard Version),A Year Without Rain,0lYS1tJg3r6ATe9bRPB0Hu,0.627,0.81,2,-5.296,0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98,234347,4,
108,Justin Bieber,Believe (Deluxe Edition),Beauty And A Beat,0KTsmr6JOuhxZuiXUha1xC,0.601,0.845,0,-4.711,1,0.0653,0.00116,0.0001,0.0653,0.662,127.97,227987,4,
109,Pitbull,Planet Pit (Deluxe Version),International Love (feat. Chris Brown),62zFEHfAYl5kdHYOivj4BC,0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,227280,4,
110,Redrama,Reflection,Clouds (feat. A.J. McLean),1RK5DiXAYnRZk1fEjnytdp,0.772,0.851,7,-4.343,1,0.09,0.0149,0,0.136,0.27,91.034,232013,4,
111,David Guetta,Nothing but the Beat (Ultimate Edition),Turn Me On (feat. Nicki Minaj),6T27IN7Ai94BeDv6PPCmoC,0.704,0.793,8,-2.266,1,0.0591,0.0488,0,0.575,0.412,127.96,199680,4,
112,David Guetta,Nothing but the Beat (Ultimate Edition),Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,7LpT54RUvN0IvDGIxiwHwS,0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005,196453,4,
113,Petri Nygård,Mun Mielestä,Märkää,6wPsHct4yJfplE3nA9qvac,0.903,0.864,1,-3.763,1,0.0358,0.0212,0,0.511,0.961,120.06,251160,4,
114,Petri Nygård,Selvä päivä (feat. Lord Est),Selvä päivä - feat. Lord Est,107ct6t9kseeQWTyeRgcdO,0.801,0.726,6,-5.567,0,0.0443,0.0412,0,0.317,0.489,113.98,211560,4,
115,The Script,#3 Deluxe Version,Good Ol' Days,629MXzH7txguTIePdNXOWY,0.549,0.945,7,-4.351,1,0.0329,0.031,0,0.114,0.565,93.998,263920,4,
116,Dzeko & Torres,Home,Home,12HmJ4Q5ksOGgaqKgZLvdE,0.577,0.886,2,-3.033,1,0.0666,0.00562,0,0.111,0.616,127.957,174335,4,
117,Laura Närhi,Supersankari,Supersankari,3yXMgnyHN4o5bL68RfWRpC,0.428,0.59,1,-6.187,1,0.0404,0.102,3.39e-06,0.108,0.305,120.38,232760,4,
118,Martin Garrix,Don't Look Down (feat. Usher),Don't Look Down (feat. Usher),5M9jOReAKGZ2AttVefFjTY,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,223140,4,
119,Cash Cash,Overtime (Vicetone Remix),Overtime - Vicetone Remix,4qwucEZidHAAkcN0BemkoU,0.721,0.887,11,-3.095,0,0.166,0.00973,0.00054,0.61,0.678,125.987,357634,4,
120,Benjamin,Unbreakable,Unbreakable,5dajiBFiQxyOkmFglyTkvg,0.498,0.566,1,-7.381,1,0.0304,0.00587,0,0.156,0.267,141.872,201122,4,
121,The Script,#3 Deluxe Version,Moon Boots,1MkiqU0AvKhjOZdL6I7NQS,0.482,0.872,2,-4.813,1,0.0469,0.000518,0,0.0935,0.532,152.888,250333,4,
122,The Script,#3 Deluxe Version,If You Could See Me Now,6EzSy7WxNCazx3csu7lxdV,0.602,0.758,0,-6.864,1,0.0399,0.00569,0,0.145,0.368,100.017,219547,4,
123,Britney Spears,Everytime,Everytime - Hi-Bias Radio Remix,4b8ssS2AaEUIzOCDlH0aOT,0.524,0.902,0,-4.655,0,0.0315,0.00994,0.0018,0.094,0.657,128.009,208813,4,
124,Britney Spears,Blackout,Gimme More,6ic8OlLUNEATToEFU3xmaH,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,251240,4,
125,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,E.T.,36ux3YuUsGTWPT8fXclS45,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,151.684,229573,4,
126,Kesha,We R Who We R,We R Who We R,5jaz6aiRknA63NIYWdbr2O,0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982,204827,4,
127,Maroon 5,Overexposed (Deluxe),The Man Who Never Lied,6tWkTeLF2WmjTA1cyS2QEp,0.63,0.842,2,-5.946,1,0.0355,0.000342,0,0.0711,0.826,139.943,205187,4,
128,Happoradio,Kaunis Minä,Che Guevara,5gsQegOEB7admETkL6ckUL,0.583,0.879,10,-4.171,0,0.0367,0.0745,0,0.187,0.46,139.943,229760,4,
129,Maroon 5,Singles,Maps,7xEMGs0GbdfLwVw0Bn5D9H,0.736,0.725,1,-5.498,0,0.029,0.0194,0,0.081,0.883,119.992,190667,4,
130,Olly Murs,Right Place Right Time,Troublemaker (feat. Flo Rida),4jOtC832PyIXlCVPRElfQu,0.762,0.863,0,-3.689,0,0.0565,0.015,0,0.125,0.965,106.008,185587,4,
131,Tinie Tempah,Written in the Stars (feat. Eric Turner),Written in the Stars (feat. Eric Turner),5m5TRf7ggoguXtcXQGprN4,0.656,0.931,7,-4.188,1,0.0981,0.0613,0,0.219,0.534,91.881,207653,4,
132,Evanescence,Fallen,Bring Me To Life,646J2jOtUe4Jflrmh6JFjN,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892,235893,4,
133,Madonna,Celebration (double disc version),Hung Up,70VjMtwhm3Q2HBQeJnPfmh,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992,336880,4,
134,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),It's My Life,4TmGtGkkmaoXRCvpOwDJoO,0.546,0.931,0,-3.025,0,0.0507,0.0295,1.67e-05,0.366,0.527,120.01,224600,4,
135,Katy Perry,One Of The Boys,I Kissed A Girl,14iN3o8ptQ8cFVZTEmyQRV,0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996,179640,4,
136,Sugababes,Change,About You Now,1ctdfJSzp6qF2iDAVdDrfl,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,212400,4,
137,Hardwell,United We Are,Birds Fly (feat. Mr. Probz),2xScjew1nGldhk7eM2qsCv,0.566,0.675,3,-4.602,0,0.0331,0.0611,0,0.642,0.11,122.553,207805,4,
